repo_name,languages,stars_count,forks_count,resolution_time_hours
pi-hole/pi-hole,"Shell, Python, Roff, Dockerfile",47441,2621,870.7644944444445
NARKOZ/hacker-scripts,"Ruby, Shell, Python, PowerShell, PHP, CoffeeScript, Perl, R, Go, JavaScript",47399,6660,4677.158339002268
chinese-poetry/chinese-poetry,"Python, JavaScript",47376,9517,2113.101626092385
mozilla/pdf.js,"JavaScript, HTML, CSS, TypeScript, Fluent",47168,9819,1447.8543222222222
golang-standards/project-layout,Makefile,47148,4957,5512.441382575757
FiloSottile/mkcert,Go,46896,2431,601.9268805555556
etcd-io/etcd,"Shell, Go, Makefile, Dockerfile, Jsonnet, Procfile",46803,9646,1650.5552916666666
ethereum/go-ethereum,"Go, Java, Shell, C, Makefile, M4, JavaScript, Assembly, NSIS, HTML",46669,19654,629.7937333333333
tiimgreen/github-cheat-sheet,,46565,5259,1229.116975308642
cypress-io/cypress,"JavaScript, CoffeeScript, CSS, HTML, TypeScript, Shell, SCSS, Vue, EJS, Svelte",46421,3135,6846.819130555556
algorithm-visualizer/algorithm-visualizer,"JavaScript, HTML, C++, Java, SCSS",46409,7274,1517.5537087087087
mastodon/mastodon,"Ruby, JavaScript, CSS, HTML, Shell, Dockerfile, SCSS, Haml, Procfile, Procfile",46343,6799,1475.5821777777778
vsouza/awesome-ios,Swift,46337,6812,424.35034722222224
serverless/serverless,"JavaScript, Python, Java, TypeScript, Ruby",46304,5692,2150.545311111111
iperov/DeepFaceLab,Python,46246,10372,415.2346416666667
iamkun/dayjs,JavaScript,46223,2264,2224.8161944444446
TryGhost/Ghost,"JavaScript, HTML, XSLT, CSS, Handlebars, TypeScript, MDX, Nix, Shell",46216,10102,1794.7465194444444
BurntSushi/ripgrep,"Rust, Shell, Python, Ruby, Roff",46189,1923,1719.8947722222222
minimaxir/big-list-of-naughty-strings,"Python, Shell, Go, Makefile",45999,2127,3046.4016840277777
